Brand,Mobile Name,Front Camera (in MP),Primary Camera (in MP),Memory,RAM,Processor Performance,Battery Power(in mAh),Screen Height,Screen Width,Ratings,Price,Mobile Category,Price Range
Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,3.7,161714.7,Flagship,160000-170000
Apple,iPhone 12,16,200,1024,16,5.0,1332.0,2580,1140,4.3,161546.7,Flagship,160000-170000
Samsung,Galaxy S22,32,200,1024,24,5.0,1456.0,2520,1080,3.3,160755.15,Flagship,160000-170000
Oneplus,OnePlus 8,20,50,1024,24,4.0,1358.0,2460,1080,4.5,160645.97,Flagship,160000-170000
Oneplus,OnePlus 9 Pro,32,200,512,24,5.0,1452.0,2460,1080,4.3,160597.43,Flagship,160000-170000
Apple,iPhone 13,20,200,512,16,5.0,1245.5,2460,1080,4.3,160410.22,Flagship,160000-170000
Samsung,Galaxy Z Flip 4,32,200,1024,24,5.0,1450.0,2460,1080,3.9,160056.61,Flagship,160000-170000
Samsung,Galaxy Z Fold 4,32,200,512,12,5.0,1315.0,2520,1080,4.0,159263.19,Flagship,150000-160000
Oneplus,OnePlus 11,32,200,1024,12,5.0,1278.0,2460,1080,3.5,157553.1,Flagship,150000-160000
Samsung,Galaxy Z Flip 4,32,200,512,24,5.0,1450.0,2460,1080,3.6,155297.77,Flagship,150000-160000
Pixel,Pixel 3A,16,50,512,16,5.0,1563.0,2800,1260,4.1,154766.74,Flagship,150000-160000
Apple,iPhone 12 Mini,32,200,512,24,5.0,1701.5,2640,1200,3.4,153972.8,Flagship,150000-160000
Samsung,Galaxy S22 Ultra,32,200,512,12,5.0,1194.0,2460,1080,3.9,153517.04,Flagship,150000-160000
Samsung,Galaxy S22 Ultra,32,200,512,16,5.0,1194.0,2460,1080,3.4,153076.09,Flagship,150000-160000
Pixel,Pixel 7 Pro,32,200,1024,24,5.0,1334.0,2520,1080,4.2,152783.49,Flagship,150000-160000
Oppo,Oppo Find N2 Flip,32,200,1024,16,4.859365842493663,1436.0,2490,1080,4.5,152543.28,Flagship,150000-160000
Motorola,Moto G200,32,200,1024,16,4.094725218982141,1519.0,2460,1080,3.8,152509.41,Flagship,150000-160000
Oppo,Oppo F17 Pro,32,108,1024,24,5.0,959.0,2460,1080,4.3,151701.06,Flagship,150000-160000
Oneplus,OnePlus 10 Pro,32,200,512,12,5.0,1018.5,2520,1080,4.8,150760.6,Flagship,150000-160000
Motorola,Moto Razr 40 Ultra,32,200,512,16,5.0,1182.0,2460,1080,4.1,150272.39,Flagship,150000-160000
Samsung,Galaxy S23,32,200,512,16,5.0,1301.5,2460,1080,4.3,149526.54,Flagship,140000-150000
Motorola,Moto Edge 30 Ultra,32,200,1024,16,5.0,1384.0,2400,1080,4.0,149320.45,Flagship,140000-150000
Samsung,Galaxy Z Fold 4,32,200,1024,16,5.0,1315.0,2520,1080,2.5,148977.02,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,32,200,512,24,5.0,1182.0,2460,1080,3.1,148788.64,Flagship,140000-150000
Samsung,Galaxy S22,32,200,512,16,5.0,1456.0,2520,1080,4.5,148299.81,Flagship,140000-150000
Samsung,Galaxy A73,32,200,1024,24,5.0,1067.5,2640,1200,4.0,148223.21,Flagship,140000-150000
Samsung,Galaxy S23,32,200,512,12,5.0,1301.5,2460,1080,3.9,147944.19,Flagship,140000-150000
Huawei,Huawei Nova 11,32,64,512,24,5.0,829.0,2630,1170,3.8,147414.15,Flagship,140000-150000
Oneplus,OnePlus 10 Pro,32,200,1024,24,5.0,1018.5,2520,1080,3.7,146484.02,Flagship,140000-150000
Pixel,Pixel 6A,20,108,512,24,4.0,1395.5,2520,1080,3.6,146010.06,Flagship,140000-150000
Vivo,Vivo X80,32,200,1024,24,5.0,966.0,2460,1080,2.5,145311.78,Flagship,140000-150000
Samsung,Galaxy Note 20,32,200,1024,16,5.0,1487.0,2460,1080,4.5,143455.53,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,32,200,1024,24,5.0,1182.0,2460,1080,4.5,143419.53,Flagship,140000-150000
Motorola,Moto Edge 40 Pro,32,200,1024,24,5.0,1430.5,2520,1080,3.7,142690.26,Flagship,140000-150000
Oppo,Oppo Find N2 Flip,32,200,1024,24,4.859365842493663,1436.0,2490,1080,3.4,141996.99,Flagship,140000-150000
Motorola,Moto Edge 20,32,108,1024,24,4.173138848552816,1541.0,2460,1080,4.4,141804.18,Flagship,140000-150000
Oppo,Oppo Find N2,32,200,1024,16,5.0,1393.0,2490,1080,4.2,141764.33,Flagship,140000-150000
Motorola,Moto Edge 30 Ultra,32,200,1024,24,5.0,1384.0,2400,1080,4.2,140794.13,Flagship,140000-150000
Motorola,Moto Edge 20 Pro,20,200,512,24,4.0,1055.0,2460,1080,3.5,140344.33,Flagship,140000-150000
Samsung,Galaxy Note 20,32,200,1024,24,5.0,1487.0,2460,1080,4.2,140019.58,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,32,200,1024,16,5.0,1182.0,2460,1080,4.5,140001.78,Flagship,140000-150000
Samsung,Galaxy S22 Ultra,32,200,1024,16,5.0,1194.0,2460,1080,3.7,139699.34,Flagship,130000-140000
Samsung,Galaxy A53,32,108,512,24,4.686511265365595,976.5,2460,1080,3.4,119305.21,Flagship,110000-120000
Vivo,Vivo X90 Pro,32,200,1024,16,4.0,1413.0,2400,1080,3.7,139043.64,Flagship,130000-140000
Oppo,Oppo Find N2 Flip,32,200,512,24,4.859365842493663,1436.0,2490,1080,4.3,118920.51,Flagship,110000-120000
Samsung,Galaxy S22 Ultra,32,200,1024,24,5.0,1194.0,2460,1080,4.4,138879.5,Flagship,130000-140000
Apple,iPhone 12 Mini,32,200,1024,24,5.0,1701.5,2640,1200,4.1,138572.78,Flagship,130000-140000
Samsung,Galaxy S22 Ultra,32,200,512,24,5.0,1194.0,2460,1080,3.5,118510.6,Flagship,110000-120000
Motorola,Moto Razr 40,32,200,1024,16,5.0,1330.0,2460,1080,3.8,138484.42,Flagship,130000-140000
Samsung,Galaxy Z Flip 4,32,200,1024,16,5.0,1450.0,2460,1080,4.1,138044.59,Flagship,130000-140000
Motorola,Moto Razr 40,32,200,512,24,5.0,1330.0,2460,1080,4.0,117835.69,Flagship,110000-120000
Vivo,Vivo X90 Pro,32,200,512,24,4.0,1413.0,2400,1080,4.6,117461.25,Flagship,110000-120000
Apple,iPhone 14 Pro,32,200,1024,24,5.0,1086.0,2460,1080,4.9,137425.19,Flagship,130000-140000
Samsung,Galaxy Note 20 Ultra,32,200,512,24,5.0,1386.5,2460,1080,4.5,117333.05,Flagship,110000-120000
Samsung,Galaxy A73,32,200,512,16,5.0,1067.5,2640,1200,3.77,116665.29,Flagship,110000-120000
Oneplus,OnePlus 8 Pro,32,200,1024,24,5.0,1382.5,2800,1260,4.2,136485.07,Flagship,130000-140000
Huawei,Huawei Mate X3,20,200,512,24,4.030842942667021,1187.0,2630,1170,3.8,116340.62,Flagship,110000-120000
Vivo,Vivo V25,32,200,1024,16,5.0,1709.0,2800,1260,3.1,135730.69,Flagship,130000-140000
Vivo,Vivo X90 Pro+,32,200,1024,16,5.0,1109.0,2460,1080,3.8,134897.97,Flagship,130000-140000
Apple,iPhone 14 Pro Max,32,200,1024,12,5.0,1074.0,2520,1080,4.7,133742.69,Flagship,130000-140000
Vivo,Vivo X90,32,200,512,24,5.0,1531.5,2460,1080,3.5,113370.74,Flagship,110000-120000
Samsung,Galaxy Note 20 Ultra,32,200,512,12,5.0,1386.5,2460,1080,3.8,133012.39,Flagship,130000-140000
Oppo,Oppo Reno 8 Pro,32,200,1024,24,5.0,1219.0,2640,1200,3.5,131941.53,Flagship,130000-140000
Apple,iPhone 12,16,200,512,16,5.0,1332.0,2580,1140,4.9,111813.7,Flagship,110000-120000
Pixel,Pixel 7,20,200,1024,16,5.0,1476.0,2520,1080,4.1,131490.01,Flagship,130000-140000
Motorola,Moto G200,32,200,1024,24,4.094725218982141,1519.0,2460,1080,4.4,131213.87,Flagship,130000-140000
Oppo,Oppo Reno 7,16,200,1024,24,4.0,1216.0,2460,1080,3.1,131000.88,Flagship,130000-140000
Vivo,Vivo X90 Pro,32,200,512,16,4.0,1413.0,2400,1080,4.1,110882.54,Flagship,110000-120000
Oneplus,OnePlus 8T,32,200,512,24,5.0,1193.0,2520,1080,4.5,129832.03,Flagship,120000-130000
Samsung,Galaxy Note 20 Ultra,32,200,512,16,5.0,1386.5,2460,1080,3.6,129814.6,Flagship,120000-130000
Oneplus,OnePlus 11,32,200,1024,24,5.0,1278.0,2460,1080,4.1,129554.52,Flagship,120000-130000
Motorola,Moto Edge 40 Pro,32,200,1024,16,5.0,1430.5,2520,1080,3.5,128884.84,Flagship,120000-130000
Oneplus,OnePlus 10R,32,200,1024,24,5.0,1004.0,2800,1260,4.1,127659.35,Flagship,120000-130000
Samsung,Galaxy S22,32,200,512,24,5.0,1456.0,2520,1080,4.2,127544.72,Flagship,120000-130000
Apple,iPhone 13 Pro,20,108,1024,24,5.0,1371.0,2520,1080,4.5,126069.84,Flagship,120000-130000
Oppo,Oppo F21 Pro,32,200,1024,24,4.0,1397.0,2460,1080,4.1,125991.45,Flagship,120000-130000
Vivo,Vivo V27,20,108,1024,12,5.0,1601.5,2790,1260,4.3,125987.93,Flagship,120000-130000
Oppo,Oppo Find N2,32,200,1024,12,5.0,1393.0,2490,1080,4.3,125936.27,Flagship,120000-130000
Huawei,Huawei P60 Pro,20,108,1024,24,5.0,1230.0,2400,1080,3.2,125895.01,Flagship,120000-130000
Samsung,Galaxy Z Flip 4,32,200,1024,12,5.0,1450.0,2460,1080,4.0,125794.21,Flagship,120000-130000
Pixel,Pixel 7 Pro,32,200,512,16,5.0,1334.0,2520,1080,4.0,125752.09,Flagship,120000-130000
Vivo,Vivo X90 Pro+,32,200,1024,24,5.0,1109.0,2460,1080,4.1,125183.42,Flagship,120000-130000
Oneplus,OnePlus 9,32,108,512,16,5.0,1106.5,2860,1260,4.8,123739.38,Flagship,120000-130000
Samsung,Galaxy A73,32,200,512,12,5.0,1067.5,2640,1200,3.7,123479.52,Flagship,120000-130000
Oneplus,OnePlus 8 Pro,32,200,1024,16,5.0,1382.5,2800,1260,4.0,122266.06,Flagship,120000-130000
Samsung,Galaxy A73,32,200,1024,16,5.0,1067.5,2640,1200,4.9,122211.41,Flagship,120000-130000
Apple,iPhone 13 Mini,32,64,1024,12,5.0,1842.0,2800,1260,4.3,121880.03,Flagship,120000-130000
Vivo,Vivo X90,32,200,512,16,5.0,1531.5,2460,1080,3.7,120607.02,Flagship,120000-130000
Samsung,Galaxy S23,32,200,1024,24,5.0,1301.5,2460,1080,4.1,120448.48,Flagship,120000-130000
Oppo,Oppo Find N2,32,200,512,16,5.0,1393.0,2490,1080,4.2,119822.58,Flagship,110000-120000
Oneplus,OnePlus 11R,32,200,512,24,5.0,1294.0,2460,1080,4.4,119024.23,Flagship,110000-120000
Oppo,Oppo Reno 8,32,200,512,16,4.5174380722750005,1339.0,2400,1080,3.9,118565.19,Flagship,110000-120000
Samsung,Galaxy Z Flip 4,32,200,512,16,5.0,1450.0,2460,1080,4.0,118375.33,Flagship,110000-120000
Oppo,Oppo Find N2 Flip,32,200,512,16,4.859365842493663,1436.0,2490,1080,4.3,117314.2,Flagship,110000-120000
Motorola,Moto Razr 40,32,200,1024,24,5.0,1330.0,2460,1080,4.4,117267.45,Flagship,110000-120000
Samsung,Galaxy A73,32,200,1024,12,5.0,1067.5,2640,1200,4.5,116963.82,Flagship,110000-120000
Motorola,Moto Edge 30 Ultra,32,200,512,16,5.0,1384.0,2400,1080,3.3,116353.71,Flagship,110000-120000
Oppo,Oppo F19 Pro,32,200,1024,24,5.0,1307.5,2340,1080,4.5,116175.72,Flagship,110000-120000
Motorola,Moto Edge 20 Pro,20,200,1024,12,4.0,1055.0,2460,1080,4.1,115680.21,Flagship,110000-120000
Apple,iPhone 12 Pro,32,108,512,16,5.0,1788.5,2660,1170,3.6,115452.34,Flagship,110000-120000
Apple,iPhone 11 Pro,20,108,1024,16,5.0,1379.0,3120,1440,4.4,115312.04,Flagship,110000-120000
Samsung,Galaxy A53,32,108,512,16,4.686511265365595,976.5,2460,1080,4.1,115008.47,Flagship,110000-120000
Pixel,Pixel 5,32,108,512,24,5.0,1429.0,2520,1080,3.6,114856.92,Flagship,110000-120000
Oppo,Oppo Reno 8,32,200,512,24,4.5174380722750005,1339.0,2400,1080,3.6,114634.93,Flagship,110000-120000
Motorola,Moto Edge 30 Fusion,20,200,512,12,4.0,959.0,2460,1080,4.0,114207.13,Flagship,110000-120000
Apple,iPhone 14,32,200,1024,12,5.0,1367.0,2460,1080,3.1,113569.98,Flagship,110000-120000
Pixel,Pixel 4,16,108,1024,16,5.0,1495.5,2430,1080,4.0,111916.5,Flagship,110000-120000
Vivo,Vivo V27,20,108,1024,16,5.0,1601.5,2790,1260,4.2,111540.64,Flagship,110000-120000
Oppo,Oppo F21 Pro,32,200,512,24,4.0,1397.0,2460,1080,4.3,110349.98,Flagship,110000-120000
Motorola,Moto Razr 40,32,200,1024,12,5.0,1330.0,2460,1080,3.8,109988.89,Flagship,100000-110000
Vivo,Vivo X90 Pro+,32,200,512,16,5.0,1109.0,2460,1080,3.0,109987.29,Flagship,100000-110000
Huawei,Huawei P60 Pro,20,108,512,16,5.0,1230.0,2400,1080,4.4,108597.95,Flagship,100000-110000
Apple,iPhone 13,20,200,1024,16,5.0,1245.5,2460,1080,4.3,108511.86,Flagship,100000-110000
Oneplus,OnePlus 10 Pro,32,200,1024,16,5.0,1018.5,2520,1080,4.4,108359.32,Flagship,100000-110000
Apple,iPhone 11 Pro,20,108,512,16,5.0,1379.0,3120,1440,4.3,107667.2,Flagship,100000-110000
Realme,Realme 10 Pro+,32,108,1024,12,4.0,1085.0,1440,720,4.7,107249.43,Flagship,100000-110000
Oneplus,OnePlus 8 Pro,32,200,512,24,5.0,1382.5,2800,1260,4.4,107231.02,Flagship,100000-110000
Vivo,Vivo V25,32,200,512,16,5.0,1709.0,2800,1260,4.0,107084.29,Flagship,100000-110000
Realme,Realme 10 Pro,32,108,1024,24,4.429208163888157,1205.0,2000,900,4.5,107070.58,Flagship,100000-110000
Pixel,Pixel 7,20,200,1024,24,5.0,1476.0,2520,1080,4.0,106423.91,Flagship,100000-110000
Samsung,Galaxy S22 Ultra,32,200,1024,12,5.0,1194.0,2460,1080,3.2,105915.69,Flagship,100000-110000
Oneplus,OnePlus 8 Pro,32,200,512,12,5.0,1382.5,2800,1260,4.8,105601.93,Flagship,100000-110000
Realme,Realme GT 3,32,200,512,24,4.0,1299.0,1560,720,3.3,105229.99,Flagship,100000-110000
RedMi,Redmi Note 12 Pro+,32,200,1024,16,4.0,1465.0,1970,900,3.62,105109.38,Flagship,100000-110000
Realme,Realme GT Neo 5,32,200,1024,16,4.0,1348.0,2340,1080,3.4,105045.57,Flagship,100000-110000
RedMi,Redmi Note 12,32,200,512,24,4.0,1509.0,1600,720,3.9,104546.74,Flagship,100000-110000
RedMi,Redmi Note 12 Pro+,32,200,512,16,4.0,1465.0,1970,900,4.4,104436.62,Flagship,100000-110000
Motorola,Moto Razr 40,32,200,512,16,5.0,1330.0,2460,1080,4.1,104203.8,Flagship,100000-110000
Motorola,Moto Edge 30 Fusion,20,200,1024,16,4.0,959.0,2460,1080,3.2,104091.21,Flagship,100000-110000
RedMi,Redmi Note 12 Pro,32,200,1024,16,5.0,1395.0,2340,1080,4.5,104055.08,Flagship,100000-110000
Apple,iPhone 13 Mini,32,64,512,16,5.0,1842.0,2800,1260,4.5,103791.57,Flagship,100000-110000
Vivo,Vivo X90 Pro+,32,200,512,24,5.0,1109.0,2460,1080,2.9,103676.96,Flagship,100000-110000
RedMi,Redmi Note 12 Pro+,32,200,1024,24,4.0,1465.0,1970,900,2.8,103489.21,Flagship,100000-110000
RedMi,Redmi Note 10,32,200,1024,24,4.0,935.0,1560,720,3.9,102835.98,Flagship,100000-110000
Vivo,Vivo X80,32,200,512,24,5.0,966.0,2460,1080,3.9,102776.53,Flagship,100000-110000
RedMi,Redmi Note 12 Pro+,32,200,1024,12,4.0,1465.0,1970,900,3.8,102743.92,Flagship,100000-110000
RedMi,Redmi Note 11,32,200,1024,24,4.402600805708426,1197.5,2460,1080,3.8,102648.54,Flagship,100000-110000
Realme,Realme GT Neo 5,32,200,1024,12,4.0,1348.0,2340,1080,4.1,101667.97,Flagship,100000-110000
Realme,Realme 10,32,108,1024,16,4.0,1636.5,1580,720,4.0,101243.27,Flagship,100000-110000
Realme,Realme Narzo 20,32,108,512,16,5.0,1479.0,2400,1080,4.2,100708.47,Flagship,100000-110000
Oppo,Oppo Reno 8,32,200,1024,12,4.5174380722750005,1339.0,2400,1080,3.9,99956.55,Flagship,90000-100000
RedMi,Redmi Note 11 Pro,32,108,512,12,5.0,1614.0,2340,1080,4.2,99849.22,Flagship,90000-100000
Samsung,Galaxy S22,32,200,512,12,5.0,1456.0,2520,1080,4.2,99377.6,Flagship,90000-100000
RedMi,Redmi Note 12 Pro+,32,200,512,8,4.0,1465.0,1970,900,4.3,99273.14,Flagship,90000-100000
Samsung,Galaxy S23 Ultra,32,200,512,8,5.0,1349.0,2460,1080,4.3,99170.86,Flagship,90000-100000
Motorola,Moto G82,32,108,512,12,4.0,1010.0,2460,1080,4.5,99166.78,Flagship,90000-100000
Oneplus,OnePlus 11,32,200,256,12,5.0,1278.0,2460,1080,4.5,98833.92,Flagship,90000-100000
RedMi,Redmi Note 12 Pro+,32,200,256,16,4.0,1465.0,1970,900,4.1,98751.46,Flagship,90000-100000
RedMi,Redmi Note 11 Pro+,32,200,512,12,4.0,913.0,2000,900,3.9,98734.69,Flagship,90000-100000
Samsung,Galaxy A53,32,108,256,16,4.686511265365595,976.5,2460,1080,3.73,98622.02,Flagship,90000-100000
Samsung,Galaxy S22 Ultra,32,200,512,8,5.0,1194.0,2460,1080,3.8,98609.29,Flagship,90000-100000
Samsung,Galaxy S23 Ultra,32,200,256,12,5.0,1349.0,2460,1080,3.2,97874.32,Flagship,90000-100000
Apple,iPhone 13 Mini,32,64,256,16,5.0,1842.0,2800,1260,4.9,97752.25,Flagship,90000-100000
RedMi,Redmi Note 11,32,200,256,12,4.402600805708426,1197.5,2460,1080,4.5,97736.92,Flagship,90000-100000
Vivo,Vivo V25,32,200,256,16,5.0,1709.0,2800,1260,3.4,97377.61,Flagship,90000-100000
Apple,iPhone 12 Mini,32,200,512,8,5.0,1701.5,2640,1200,4.61,97214.6,Flagship,90000-100000
Samsung,Galaxy S23 Ultra,32,200,256,16,5.0,1349.0,2460,1080,4.5,97208.57,Flagship,90000-100000
Samsung,Galaxy Z Flip 4,32,200,256,12,5.0,1450.0,2460,1080,4.2,97156.21,Flagship,90000-100000
Samsung,Galaxy S23,32,200,256,12,5.0,1301.5,2460,1080,4.2,96895.99,Flagship,90000-100000
Pixel,Pixel 7 Pro,32,200,512,12,5.0,1334.0,2520,1080,3.7,96819.45,Flagship,90000-100000
Oppo,Oppo Reno 8 Pro,32,200,1024,8,5.0,1219.0,2640,1200,4.3,96661.56,Flagship,90000-100000
Motorola,Moto Edge 40 Pro,32,200,256,16,5.0,1430.5,2520,1080,3.5,96625.73,Flagship,90000-100000
Realme,Realme GT Neo 5,32,200,256,16,4.0,1348.0,2340,1080,3.7,96524.21,Flagship,90000-100000
Oppo,Oppo Reno 8 Pro,32,200,512,16,5.0,1219.0,2640,1200,2.5,96500.01,Flagship,90000-100000
Samsung,Galaxy A73,32,200,256,12,5.0,1067.5,2640,1200,4.5,96460.35,Flagship,90000-100000
Motorola,Moto Edge 40 Pro,32,200,512,12,5.0,1430.5,2520,1080,3.8,96440.71,Flagship,90000-100000
Motorola,Moto Razr 40 Ultra,32,200,256,12,5.0,1182.0,2460,1080,3.4,96043.59,Flagship,90000-100000
Motorola,Moto Edge 40 Pro,32,200,512,16,5.0,1430.5,2520,1080,3.7,95555.3,Flagship,90000-100000
RedMi,Redmi Note 11 Pro,32,108,256,12,5.0,1614.0,2340,1080,3.9,95383.66,Flagship,90000-100000
Realme,Realme GT Neo 5,32,200,512,12,4.0,1348.0,2340,1080,3.7,95162.63,Flagship,90000-100000
Motorola,Moto G82,32,108,256,16,4.0,1010.0,2460,1080,3.9,94928.75,Flagship,90000-100000
Pixel,Pixel 5,32,108,1024,12,5.0,1429.0,2520,1080,4.8,94913.73,Flagship,90000-100000
Oppo,Oppo F19 Pro,32,200,256,12,5.0,1307.5,2340,1080,4.2,94220.99,Midrange,90000-100000
RedMi,Redmi Note 12 Pro,32,200,512,16,5.0,1395.0,2340,1080,4.3,94184.69,Midrange,90000-100000
Motorola,Moto Edge 30 Fusion,20,200,256,12,4.0,959.0,2460,1080,4.6,93696.09,Midrange,90000-100000
RedMi,Redmi Note 11 Pro,32,108,256,8,5.0,1614.0,2340,1080,3.9,93624.51,Midrange,90000-100000
RedMi,Redmi Note 12,32,200,512,16,4.0,1509.0,1600,720,4.6,93414.23,Midrange,90000-100000
Vivo,Vivo V27,20,108,256,16,5.0,1601.5,2790,1260,3.9,93377.16,Midrange,90000-100000
Realme,Realme GT Neo 5,32,200,256,8,4.0,1348.0,2340,1080,3.9,93184.82,Midrange,90000-100000
RedMi,Redmi Note 12 Pro,32,200,512,12,5.0,1395.0,2340,1080,4.1,93109.58,Midrange,90000-100000
RedMi,Redmi Note 9,32,108,512,16,4.0,1429.0,2340,1080,3.4,93012.54,Midrange,90000-100000
Realme,Realme 11 Pro+,32,64,512,12,4.0,1537.5,1560,720,3.0,92882.32,Midrange,90000-100000
Realme,Realme GT 3,32,200,512,12,4.0,1299.0,1560,720,4.1,92558.42,Midrange,90000-100000
Apple,iPhone 14 Pro Max,32,200,256,16,5.0,1074.0,2520,1080,3.2,92473.37,Midrange,90000-100000
Oppo,Oppo Reno 8 Pro,32,200,256,8,5.0,1219.0,2640,1200,4.0,92333.14,Midrange,90000-100000
Pixel,Pixel 4A,12,200,512,16,5.0,1634.0,2460,1080,4.0,92012.55,Midrange,90000-100000
Vivo,Vivo X90 Pro,32,200,256,12,4.0,1413.0,2400,1080,3.4,91870.66,Midrange,90000-100000
RedMi,Redmi Note 12 Pro,32,200,512,8,5.0,1395.0,2340,1080,4.3,91783.61,Midrange,90000-100000
Samsung,Galaxy Z Fold 4,32,200,1024,12,5.0,1315.0,2520,1080,3.8,91611.04,Midrange,90000-100000
Motorola,Moto Razr 40,32,200,512,12,5.0,1330.0,2460,1080,3.4,91343.49,Midrange,90000-100000
Vivo,Vivo X90 Pro+,32,200,256,12,5.0,1109.0,2460,1080,4.2,91219.64,Midrange,90000-100000
Samsung,Galaxy Z Fold 4,32,200,256,12,5.0,1315.0,2520,1080,3.77,91025.79,Midrange,90000-100000
Samsung,Galaxy Z Fold 4,32,200,256,16,5.0,1315.0,2520,1080,3.0,90551.58,Midrange,90000-100000
RedMi,Redmi Note 12 Pro+,32,200,512,12,4.0,1465.0,1970,900,4.3,90479.61,Midrange,90000-100000
RedMi,Redmi Note 12 Pro,32,200,256,8,5.0,1395.0,2340,1080,4.0,90454.93,Midrange,90000-100000
Apple,iPhone 13,20,200,512,12,5.0,1245.5,2460,1080,4.6,90402.45,Midrange,90000-100000
RedMi,Redmi Note 12,32,200,512,8,4.0,1509.0,1600,720,4.1,90395.17,Midrange,90000-100000
