Brand,Mobile Name,Front Camera (in MP),Primary Camera (in MP),Memory,RAM,Processor Performance,Battery Power(in mAh),Screen Height,Screen Width,Ratings,Price,Mobile Category,Price Range
Samsung,Galaxy Z Fold 4,20,108,512,16,5.0,1933,3200,1440,4.5,167501.56,Flagship,160000-170000
Apple,iPhone 14 Pro Max,20,108,1024,24,5.0,1986,3200,1440,4.5,167082.46,Flagship,160000-170000
Samsung,Galaxy S23,20,200,512,24,5.0,1848,2800,1260,4.4,166352.07,Flagship,160000-170000
Samsung,Galaxy S22,20,64,1024,16,5.0,1855,2640,1200,3.5,166110.14,Flagship,160000-170000
Samsung,Galaxy S23,32,50,1024,16,5.0,1595,3200,1440,4.3,165594.08,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,20,50,1024,12,5.0,1373,2640,1200,4.5,165374.05,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,16,50,512,24,5.0,1855,3120,1440,4.6,165308.36,Flagship,160000-170000
Samsung,Galaxy S23,32,108,1024,16,5.0,1324,2640,1200,4.0,165284.05,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,32,200,512,12,5.0,1982,2800,1260,4.4,164751.4,Flagship,160000-170000
Apple,iPhone 13 Pro,20,50,1024,16,5.0,570,3120,1440,4.9,163881.37,Flagship,160000-170000
Samsung,Galaxy S22,16,108,1024,16,5.0,1190,2640,1200,3.6,163052.73,Flagship,160000-170000
Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1911,3200,1440,3.7,162184.59,Flagship,160000-170000
Samsung,Galaxy Note 20 Ultra,16,108,1024,16,5.0,1496,3120,1440,4.3,162136.97,Flagship,160000-170000
Samsung,Galaxy S23,32,200,1024,16,5.0,1057,2800,1260,4.1,162136.63,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,16,108,512,16,5.0,1425,2800,1260,3.5,162014.37,Flagship,160000-170000
Oneplus,OnePlus 10R,16,108,512,24,5.0,1772,3120,1440,4.5,162009.75,Flagship,160000-170000
Samsung,Galaxy Note 20,16,108,512,24,5.0,1164,3200,1440,3.8,161997.34,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,20,64,1024,24,5.0,732,2640,1200,4.6,161772.63,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,16,108,1024,24,5.0,597,3120,1440,4.4,161761.94,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,20,50,1024,16,5.0,815,3120,1440,3.7,161714.7,Flagship,160000-170000
Apple,iPhone 12,16,200,1024,16,5.0,932,2800,1260,4.3,161546.7,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,16,50,1024,24,5.0,1362,2800,1260,3.9,161501.33,Flagship,160000-170000
Samsung,Galaxy S22,16,50,1024,24,5.0,1464,3120,1440,3.3,160755.15,Flagship,160000-170000
Samsung,Galaxy Z Fold 4,20,108,1024,24,5.0,1375,2800,1260,4.3,160710.74,Flagship,160000-170000
Oneplus,OnePlus 8,16,50,1024,24,5.0,1358,3120,1440,4.5,160645.97,Flagship,160000-170000
Oneplus,OnePlus 9 Pro,16,200,512,24,5.0,685,2640,1200,4.3,160597.43,Flagship,160000-170000
Apple,iPhone 13,16,50,512,16,5.0,1515,3200,1440,4.3,160410.22,Flagship,160000-170000
Samsung,Galaxy Z Flip 4,16,200,1024,24,5.0,772,3120,1440,3.9,160056.61,Flagship,160000-170000
Samsung,Galaxy Note 20 Ultra,32,200,1024,16,5.0,1154,2800,1260,4.2,159579.29,Flagship,150000-160000
Samsung,Galaxy Z Fold 4,20,108,512,12,5.0,1361,2800,1260,4.0,159263.19,Flagship,150000-160000
Samsung,Galaxy S22,20,64,1024,24,5.0,1456,3200,1440,4.2,158622.7,Flagship,150000-160000
Samsung,Galaxy S23 Ultra,20,200,1024,16,5.0,1533,2640,1200,4.3,158329.32,Flagship,150000-160000
Pixel,Pixel 7 Pro,20,50,1024,16,5.0,1728,2640,1200,4.1,158318.84,Flagship,150000-160000
Samsung,Galaxy S22,16,12,1024,16,5.0,1498,2640,1200,4.5,157591.89,Flagship,150000-160000
Oneplus,OnePlus 11,16,200,1024,12,5.0,1494,2640,1200,3.5,157553.1,Flagship,150000-160000
Apple,iPhone 14 Pro Max,20,12,512,24,5.0,1454,2640,1200,3.8,157203.82,Flagship,150000-160000
Samsung,Galaxy S23 Ultra,32,50,1024,24,5.0,1497,2800,1260,3.6,155782.1,Flagship,150000-160000
Samsung,Galaxy Z Fold 4,20,200,1024,24,5.0,1035,3200,1440,4.2,155674.37,Flagship,150000-160000
Oneplus,OnePlus 10R,16,108,512,24,5.0,1366,3200,1440,4.7,155456.69,Flagship,150000-160000
Samsung,Galaxy Z Flip 4,16,64,512,24,5.0,1821,2800,1260,3.6,155297.77,Flagship,150000-160000
Pixel,Pixel 3A,16,50,512,16,5.0,1563,2800,1260,4.1,154766.74,Flagship,150000-160000
Oneplus,OnePlus 11R,16,50,1024,16,5.0,1451,2640,1200,4.3,154369.53,Flagship,150000-160000
Apple,iPhone 12 Mini,20,200,512,24,5.0,1637,2800,1260,3.4,153972.8,Flagship,150000-160000
Samsung,Galaxy Z Flip 4,16,50,512,24,5.0,1490,2640,1200,4.3,153600.92,Flagship,150000-160000
Samsung,Galaxy S22 Ultra,16,64,512,12,5.0,1034,2800,1260,3.9,153517.04,Flagship,150000-160000
Samsung,Galaxy S23,20,108,1024,16,5.0,1135,2800,1260,3.1,153254.68,Flagship,150000-160000
Samsung,Galaxy S22 Ultra,20,108,512,16,5.0,1337,3120,1440,3.4,153076.09,Flagship,150000-160000
Pixel,Pixel 7 Pro,16,108,1024,24,5.0,1949,3120,1440,4.2,152783.49,Flagship,150000-160000
Samsung,Galaxy Z Fold 4,16,12,512,16,5.0,1733,2640,1200,3.3,152654.96,Flagship,150000-160000
Oppo,Oppo Find N2 Flip,16,50,1024,16,5.0,1358,2800,1260,4.5,152543.28,Flagship,150000-160000
Motorola,Moto G200,16,50,1024,16,5.0,1960,3120,1440,3.8,152509.41,Flagship,150000-160000
Samsung,Galaxy S23 Ultra,16,50,1024,24,5.0,1500,3120,1440,3.9,152061.97,Flagship,150000-160000
Samsung,Galaxy S23,16,108,1024,16,5.0,1637,3120,1440,3.8,151990.8,Flagship,150000-160000
Oppo,Oppo F17 Pro,32,50,1024,24,5.0,648,2800,1260,4.3,151701.06,Flagship,150000-160000
Oneplus,OnePlus 10 Pro,16,200,512,12,5.0,1848,3120,1440,4.8,150760.6,Flagship,150000-160000
Apple,iPhone 14 Pro Max,20,50,512,16,5.0,586,3120,1440,4.0,150755.93,Flagship,150000-160000
Motorola,Moto Razr 40 Ultra,16,108,512,16,5.0,1651,3120,1440,4.1,150272.39,Flagship,150000-160000
Apple,iPhone 14 Pro Max,32,50,1024,16,5.0,869,2800,1260,4.7,150148.89,Flagship,150000-160000
Samsung,Galaxy S23,16,48,512,16,5.0,914,3200,1440,4.3,149526.54,Flagship,140000-150000
Motorola,Moto Edge 30 Ultra,16,50,1024,16,5.0,530,3200,1440,4.0,149320.45,Flagship,140000-150000
Oneplus,OnePlus 11R,16,50,1024,16,5.0,1843,3120,1440,4.9,149076.47,Flagship,140000-150000
Samsung,Galaxy Z Fold 4,32,12,1024,16,5.0,1467,3200,1440,2.5,148977.02,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,16,200,512,24,5.0,1717,2800,1260,3.1,148788.64,Flagship,140000-150000
Samsung,Galaxy S22,16,50,512,16,5.0,1275,2640,1200,4.5,148299.81,Flagship,140000-150000
Samsung,Galaxy Z Fold 4,16,50,1024,24,5.0,1807,3200,1440,1.6,148269.14,Flagship,140000-150000
Samsung,Galaxy A73,20,64,1024,24,5.0,1288,3120,1440,4.0,148223.21,Flagship,140000-150000
Samsung,Galaxy S23,32,12,512,12,5.0,1796,2800,1260,3.9,147944.19,Flagship,140000-150000
Samsung,Galaxy Z Fold 4,32,64,1024,24,5.0,808,2800,1260,4.4,147639.2,Flagship,140000-150000
Huawei,Huawei Nova 11,32,64,512,24,5.0,712,2800,1260,3.8,147414.15,Flagship,140000-150000
Samsung,Galaxy S23 Ultra,20,200,1024,16,5.0,519,3120,1440,4.2,147346.59,Flagship,140000-150000
Apple,iPhone 13 Pro,16,12,1024,16,5.0,1758,3120,1440,4.4,146802.18,Flagship,140000-150000
Oneplus,OnePlus 10 Pro,16,200,1024,24,5.0,1091,3200,1440,3.7,146484.02,Flagship,140000-150000
Pixel,Pixel 6A,16,108,512,24,5.0,1153,3200,1440,3.6,146010.06,Flagship,140000-150000
Vivo,Vivo X80,32,12,1024,24,5.0,1810,2640,1200,2.5,145311.78,Flagship,140000-150000
Samsung,Galaxy S23 Ultra,16,200,1024,16,5.0,1112,3120,1440,4.2,145248.28,Flagship,140000-150000
Samsung,Galaxy S23 Ultra,32,64,1024,16,5.0,888,3120,1440,3.5,144398.51,Flagship,140000-150000
Samsung,Galaxy S23 Ultra,16,64,512,16,5.0,1023,3120,1440,4.1,144365.47,Flagship,140000-150000
Samsung,Galaxy Z Fold 4,20,48,1024,16,5.0,612,2640,1200,4.5,143494.7,Flagship,140000-150000
Samsung,Galaxy Note 20,20,64,1024,16,5.0,1946,2640,1200,4.5,143455.53,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,20,12,1024,24,5.0,1314,3120,1440,4.5,143419.53,Flagship,140000-150000
Motorola,Moto Edge 40 Pro,32,108,1024,24,5.0,1488,2640,1200,3.7,142690.26,Flagship,140000-150000
Oppo,Oppo Find N2 Flip,20,64,1024,24,5.0,1376,3200,1440,3.4,141996.99,Flagship,140000-150000
Samsung,Galaxy S23,20,50,1024,16,5.0,875,2800,1260,4.2,141940.8,Flagship,140000-150000
Motorola,Moto Edge 20,32,108,1024,24,4.520886745226174,1770,2640,1200,4.4,141804.18,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,16,12,512,24,5.0,1414,3120,1440,4.2,141779.81,Flagship,140000-150000
Oppo,Oppo Find N2,16,64,1024,16,5.0,1992,2640,1200,4.2,141764.33,Flagship,140000-150000
Samsung,Galaxy S23 Ultra,16,108,512,16,5.0,853,2800,1260,4.4,141343.91,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,16,108,1024,24,5.0,1368,3200,1440,4.2,141283.57,Flagship,140000-150000
Samsung,Galaxy A73,20,108,1024,24,4.575220948264368,1911,2640,1200,4.2,140972.56,Flagship,140000-150000
Samsung,Galaxy S23 Ultra,20,12,1024,16,4.939844101769282,841,2640,1200,4.3,140917.47,Flagship,140000-150000
Motorola,Moto Edge 30 Ultra,16,200,1024,24,5.0,1130,2800,1260,4.2,140794.13,Flagship,140000-150000
Apple,iPhone 14 Pro Max,20,50,1024,16,5.0,1036,3200,1440,4.0,140631.59,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,20,12,1024,24,5.0,1392,3200,1440,4.2,140563.48,Flagship,140000-150000
Motorola,Moto Edge 20 Pro,16,12,512,24,5.0,510,3120,1440,3.5,140344.33,Flagship,140000-150000
Samsung,Galaxy Note 20,16,12,1024,24,5.0,1809,3120,1440,4.2,140019.58,Flagship,140000-150000
Motorola,Moto Razr 40 Ultra,32,50,1024,16,5.0,962,2640,1200,4.5,140001.78,Flagship,140000-150000
Samsung,Galaxy Z Fold 4,16,50,1024,24,5.0,1343,3120,1440,4.7,139706.64,Flagship,130000-140000
Samsung,Galaxy S22 Ultra,16,50,1024,16,5.0,1164,3120,1440,3.7,139699.34,Flagship,130000-140000
Samsung,Galaxy S23,20,12,512,24,5.0,1924,2800,1260,4.2,139672.83,Flagship,130000-140000
Samsung,Galaxy S23 Ultra,16,50,512,24,5.0,1863,3200,1440,3.9,139340.19,Flagship,130000-140000
Samsung,Galaxy A53,20,64,512,24,4.814261759970311,844,2800,1260,3.4,139305.21,Flagship,130000-140000
Samsung,Galaxy Z Flip 4,16,12,1024,24,5.0,1722,3120,1440,4.1,139236.17,Flagship,130000-140000
Vivo,Vivo X90 Pro,20,108,1024,16,5.0,1413,2800,1260,3.7,139043.64,Flagship,130000-140000
Oppo,Oppo Find N2 Flip,16,50,512,24,5.0,1487,3120,1440,4.3,138920.51,Flagship,130000-140000
Samsung,Galaxy S22 Ultra,16,12,1024,24,4.364810064266655,1546,3200,1440,4.4,138879.5,Flagship,130000-140000
Samsung,Galaxy S22,16,50,1024,24,5.0,1272,3200,1440,3.7,138752.37,Flagship,130000-140000
Samsung,Galaxy S23 Ultra,16,12,1024,24,5.0,1077,3200,1440,4.1,138643.54,Flagship,130000-140000
Apple,iPhone 12 Mini,16,64,1024,24,5.0,1419,2640,1200,4.1,138572.78,Flagship,130000-140000
Samsung,Galaxy S22 Ultra,16,50,512,24,5.0,1037,3200,1440,3.5,138510.6,Flagship,130000-140000
Motorola,Moto Razr 40,20,50,1024,16,5.0,635,3200,1440,3.8,138484.42,Flagship,130000-140000
Samsung,Galaxy Z Flip 4,16,108,1024,16,5.0,1816,3200,1440,4.1,138044.59,Flagship,130000-140000
Samsung,Galaxy Z Fold 4,20,108,1024,24,5.0,1613,3120,1440,3.4,137959.48,Flagship,130000-140000
Motorola,Moto Razr 40,32,50,512,24,5.0,1606,3200,1440,4.0,137835.69,Flagship,130000-140000
Vivo,Vivo X90 Pro,16,108,512,24,5.0,1583,2640,1200,4.6,137461.25,Flagship,130000-140000
Apple,iPhone 14 Pro,16,12,1024,24,5.0,1786,2800,1260,4.9,137425.19,Flagship,130000-140000
Samsung,Galaxy Note 20 Ultra,20,12,512,24,5.0,1126,3120,1440,4.5,137333.05,Flagship,130000-140000
Samsung,Galaxy S23 Ultra,32,64,1024,24,5.0,1581,3120,1440,3.6,137198.56,Flagship,130000-140000
Samsung,Galaxy Z Fold 4,32,64,512,16,5.0,1872,2800,1260,2.4,136798.85,Flagship,130000-140000
Samsung,Galaxy A73,20,12,512,16,5.0,989,2800,1260,3.77,136665.29,Flagship,130000-140000
Apple,iPhone 14 Pro Max,32,12,1024,16,5.0,1983,2800,1260,4.7,136588.42,Flagship,130000-140000
Oneplus,OnePlus 8 Pro,20,12,1024,24,5.0,1378,3200,1440,4.2,136485.07,Flagship,130000-140000
Huawei,Huawei Mate X3,16,108,512,24,4.061685885334041,654,2800,1260,3.8,136340.62,Flagship,130000-140000
Vivo,Vivo V25,16,12,1024,16,5.0,1712,3200,1440,3.1,135730.69,Flagship,130000-140000
Vivo,Vivo X90 Pro+,16,108,1024,16,5.0,876,3120,1440,3.8,134897.97,Flagship,130000-140000
Samsung,Galaxy S23 Ultra,16,64,1024,24,5.0,1607,2640,1200,3.1,134793.99,Flagship,130000-140000
Samsung,Galaxy Z Fold 4,20,48,1024,16,5.0,1928,3200,1440,3.2,134628.61,Flagship,130000-140000
Samsung,Galaxy S23 Ultra,20,200,512,12,5.0,1270,3200,1440,4.1,134370.91,Flagship,130000-140000
Samsung,Galaxy S23 Ultra,20,50,512,24,5.0,1184,3120,1440,4.6,134265.2,Flagship,130000-140000
Apple,iPhone 12 Mini,16,12,512,16,5.0,1766,3120,1440,4.6,134027.54,Flagship,130000-140000
Oneplus,OnePlus 11,16,50,1024,12,5.0,529,2640,1200,4.4,133927.48,Flagship,130000-140000
Apple,iPhone 14 Pro Max,32,200,1024,12,5.0,918,3120,1440,4.7,133742.69,Flagship,130000-140000
Vivo,Vivo X90,16,200,512,24,5.0,1882,2800,1260,3.5,133370.74,Flagship,130000-140000
Motorola,Moto Razr 40 Ultra,16,50,1024,16,5.0,975,2800,1260,4.1,133283.52,Flagship,130000-140000
Oppo,Oppo Find N2 Flip,16,50,1024,16,5.0,1446,2640,1200,3.8,133054.34,Flagship,130000-140000
Samsung,Galaxy Note 20 Ultra,20,50,512,12,4.726459288116374,1414,3120,1440,3.8,133012.39,Flagship,130000-140000
Samsung,Galaxy Z Fold 4,20,50,512,16,5.0,1406,3200,1440,3.0,132955.55,Flagship,130000-140000
Motorola,Moto Edge 40 Pro,20,12,1024,24,5.0,1071,2800,1260,3.7,132452.83,Flagship,130000-140000
Oppo,Oppo Reno 8 Pro,20,108,1024,24,5.0,1557,2640,1200,3.5,131941.53,Flagship,130000-140000
Samsung,Galaxy S22,32,12,512,16,5.0,1535,3200,1440,4.3,131870.41,Flagship,130000-140000
Apple,iPhone 12,16,12,512,16,5.0,1108,2640,1200,4.9,131813.7,Flagship,130000-140000
Samsung,Galaxy Z Fold 4,16,50,512,24,5.0,1745,3200,1440,3.8,131563.91,Flagship,130000-140000
Samsung,Galaxy Z Flip 4,32,108,1024,16,5.0,977,2800,1260,3.2,131511.95,Flagship,130000-140000
Pixel,Pixel 7,20,200,1024,16,5.0,1893,2800,1260,4.1,131490.01,Flagship,130000-140000
Oneplus,OnePlus 11R,16,50,1024,16,5.0,1366,2800,1260,4.1,131351.03,Flagship,130000-140000
Motorola,Moto G200,16,50,1024,24,4.094725218982141,1519,2800,1260,4.4,131213.87,Flagship,130000-140000
Oppo,Oppo Reno 7,16,12,1024,24,5.0,1216,2800,1260,3.1,131000.88,Flagship,130000-140000
Vivo,Vivo X90 Pro,16,50,512,16,5.0,1471,3200,1440,4.1,130882.54,Flagship,130000-140000
Oneplus,OnePlus 11,32,50,1024,16,5.0,1692,3120,1440,4.9,130864.88,Flagship,130000-140000
Motorola,Moto Razr 40,32,108,512,24,5.0,595,3200,1440,4.3,130373.56,Flagship,130000-140000
Oneplus,OnePlus 10R,20,50,512,16,5.0,1004,2800,1260,4.8,130121.44,Flagship,130000-140000
Oneplus,OnePlus 8T,16,12,512,24,5.0,1928,2640,1200,4.5,129832.03,Flagship,120000-130000
Samsung,Galaxy Note 20 Ultra,16,64,512,16,5.0,1811,2640,1200,3.6,129814.6,Flagship,120000-130000
Oppo,Oppo Find N2 Flip,20,50,512,24,5.0,1938,3200,1440,3.7,129782.8,Flagship,120000-130000
Samsung,Galaxy S23 Ultra,16,50,1024,16,4.627848482171065,1356,3120,1440,3.9,129689.66,Flagship,120000-130000
Samsung,Galaxy Z Fold 4,16,50,1024,24,4.59369064656723,1545,2640,1200,3.9,129596.07,Flagship,120000-130000
Oneplus,OnePlus 11,20,12,1024,24,5.0,514,3200,1440,4.1,129554.52,Flagship,120000-130000
Samsung,Galaxy S23 Ultra,16,108,1024,16,5.0,1483,2640,1200,4.0,129221.25,Flagship,120000-130000
Motorola,Moto Edge 40 Pro,16,12,1024,16,5.0,1373,2800,1260,3.5,128884.84,Flagship,120000-130000
Samsung,Galaxy S23 Ultra,20,12,512,16,5.0,1891,2640,1200,3.7,128060.49,Flagship,120000-130000
Oneplus,OnePlus 10R,20,50,1024,24,5.0,1883,3200,1440,4.1,127659.35,Flagship,120000-130000
Samsung,Galaxy S22,20,12,512,24,5.0,1253,2800,1260,4.2,127544.72,Flagship,120000-130000
Oneplus,OnePlus 8 Pro,32,200,1024,24,4.863449494167837,1166,3120,1440,4.4,127383.61,Flagship,120000-130000
Oneplus,OnePlus 10 Pro,16,12,1024,24,5.0,694,3200,1440,4.7,126993.53,Flagship,120000-130000
Oneplus,OnePlus 11,16,50,1024,16,5.0,1425,3200,1440,4.2,126906.87,Flagship,120000-130000
Pixel,Pixel 7 Pro,20,108,1024,16,5.0,1649,2640,1200,4.4,126727.34,Flagship,120000-130000
Apple,iPhone 13 Pro,16,48,1024,24,5.0,1517,3120,1440,4.5,126069.84,Flagship,120000-130000
Oppo,Oppo F21 Pro,32,64,1024,24,5.0,1911,2800,1260,4.1,125991.45,Flagship,120000-130000
Vivo,Vivo V27,16,50,1024,12,5.0,977,3120,1440,4.3,125987.93,Flagship,120000-130000
Oppo,Oppo Find N2,16,48,1024,12,5.0,1957,3200,1440,4.3,125936.27,Flagship,120000-130000
Huawei,Huawei P60 Pro,16,48,1024,24,5.0,1224,2800,1260,3.2,125895.01,Flagship,120000-130000
Samsung,Galaxy Z Flip 4,16,64,1024,12,5.0,767,3200,1440,4.0,125794.21,Flagship,120000-130000
Samsung,Galaxy S23 Ultra,20,48,1024,12,5.0,1960,3200,1440,4.5,125753.23,Flagship,120000-130000
Pixel,Pixel 7 Pro,32,50,512,16,5.0,1512,2640,1200,4.0,125752.09,Flagship,120000-130000
Vivo,Vivo X90 Pro+,16,108,1024,24,5.0,1043,2640,1200,4.1,125183.42,Flagship,120000-130000
Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1733,3120,1440,3.5,125031.03,Flagship,120000-130000
Huawei,Huawei P60 Pro,20,108,1024,24,5.0,1994,2640,1200,3.9,124776.7,Flagship,120000-130000
Samsung,Galaxy Z Fold 4,16,108,1024,16,5.0,610,2800,1260,3.6,124245.03,Flagship,120000-130000
Vivo,Vivo X90,20,50,512,24,5.0,1569,3120,1440,4.2,123831.64,Flagship,120000-130000
Oneplus,OnePlus 9,16,108,512,16,5.0,709,3200,1440,4.8,123739.38,Flagship,120000-130000
Samsung,Galaxy A73,16,108,512,12,5.0,1333,2640,1200,3.7,123479.52,Flagship,120000-130000
Samsung,Galaxy Note 20,16,12,512,16,5.0,1640,3200,1440,4.0,123379.86,Flagship,120000-130000
Samsung,Galaxy Z Fold 4,16,50,512,16,5.0,942,2640,1200,4.4,122364.6,Flagship,120000-130000
Oneplus,OnePlus 8 Pro,16,108,1024,16,5.0,1559,3200,1440,4.0,122266.06,Flagship,120000-130000
Samsung,Galaxy A73,32,50,1024,16,4.360134226286741,839,2800,1260,4.9,122211.41,Flagship,120000-130000
Apple,iPhone 14 Pro Max,16,64,1024,16,5.0,1834,3200,1440,4.86,122182.98,Flagship,120000-130000
Samsung,Galaxy Z Flip 4,20,50,512,24,5.0,1702,2800,1260,4.1,122069.3,Flagship,120000-130000
Apple,iPhone 13 Mini,16,12,1024,12,5.0,1842,3120,1440,4.3,121880.03,Flagship,120000-130000
Samsung,Galaxy S22 Ultra,20,12,1024,16,5.0,1944,2800,1260,3.5,121410.39,Flagship,120000-130000
Samsung,Galaxy Z Flip 4,16,50,1024,16,5.0,1360,2800,1260,3.8,121179.36,Flagship,120000-130000
Vivo,Vivo X90,32,12,512,16,5.0,1403,2800,1260,3.7,120607.02,Flagship,120000-130000
Samsung,Galaxy S23,32,108,1024,24,5.0,1436,2800,1260,4.1,120448.48,Flagship,120000-130000
Samsung,Galaxy S23 Ultra,20,50,1024,16,5.0,740,3120,1440,4.4,120153.48,Flagship,120000-130000
Motorola,Moto Razr 40,16,108,512,24,5.0,1776,3120,1440,4.0,120038.03,Flagship,120000-130000
Oppo,Oppo Find N2,20,108,512,16,5.0,1379,2800,1260,4.2,119822.58,Flagship,110000-120000
Oneplus,OnePlus 11R,20,200,512,24,5.0,972,3200,1440,4.4,119024.23,Flagship,110000-120000
Oppo,Oppo Reno 8,32,108,512,16,4.5174380722750005,1659,3120,1440,3.9,118565.19,Flagship,110000-120000
Samsung,Galaxy Z Flip 4,32,50,512,16,5.0,1711,2640,1200,4.0,118375.33,Flagship,110000-120000
Samsung,Galaxy S23 Ultra,20,108,512,24,5.0,921,3200,1440,3.7,118207.21,Flagship,110000-120000
Samsung,Galaxy S23 Ultra,20,50,1024,24,5.0,1662,2640,1200,4.4,117688.23,Flagship,110000-120000
Apple,iPhone 14 Pro Max,16,12,1024,16,5.0,1972,3120,1440,4.3,117531.17,Flagship,110000-120000
Motorola,Moto Razr 40 Ultra,16,12,512,16,5.0,1709,2640,1200,4.6,117388.39,Flagship,110000-120000
Oppo,Oppo Find N2 Flip,16,108,512,16,5.0,1263,2800,1260,4.3,117314.2,Flagship,110000-120000
Motorola,Moto Razr 40,16,64,1024,24,5.0,1577,3120,1440,4.4,117267.45,Flagship,110000-120000
Samsung,Galaxy A73,16,50,1024,12,5.0,1180,3120,1440,4.5,116963.82,Flagship,110000-120000
Oneplus,OnePlus 10 Pro,32,12,1024,24,5.0,612,2640,1200,4.8,116799.34,Flagship,110000-120000
Oppo,Oppo Find N2 Flip,20,50,512,24,5.0,623,2640,1200,4.0,116754.37,Flagship,110000-120000
Motorola,Moto Edge 30 Ultra,32,50,512,16,5.0,840,3200,1440,3.3,116353.71,Flagship,110000-120000
