index,Brand,Mobile Name,Front Camera (in MP),Primary Camera (in MP),Memory,RAM,Processor Performance,Battery Power(in mAh),Screen Height,Screen Width,Ratings,Price,Mobile Category,Price Range,Cluster
34,Samsung,Galaxy S23,32,200,512,24,5.0,1301.5,2460,1080,4.4,166352.07,Flagship,160000-170000,2
35,Samsung,Galaxy S22,32,200,1024,16,5.0,1456.0,2520,1080,3.5,166110.14,Flagship,160000-170000,2
36,Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,4.3,165594.08,Flagship,160000-170000,2
37,Samsung,Galaxy S23 Ultra,32,200,1024,12,5.0,1349.0,2460,1080,4.5,165374.05,Flagship,160000-170000,2
38,Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,4.6,165308.36,Flagship,160000-170000,0
39,Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,4.0,165284.05,Flagship,160000-170000,2
40,Samsung,Galaxy S23 Ultra,32,200,512,12,5.0,1349.0,2460,1080,4.4,164751.4,Flagship,160000-170000,0
41,Apple,iPhone 13 Pro,20,108,1024,16,5.0,1371.0,2520,1080,4.9,163881.37,Flagship,160000-170000,2
42,Samsung,Galaxy S22,32,200,1024,16,5.0,1456.0,2520,1080,3.6,163052.73,Flagship,160000-170000,2
43,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,3.7,162184.59,Flagship,160000-170000,2
44,Samsung,Galaxy Note 20 Ultra,32,200,1024,16,5.0,1386.5,2460,1080,4.3,162136.97,Flagship,160000-170000,2
45,Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,4.1,162136.63,Flagship,160000-170000,2
46,Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,3.5,162014.37,Flagship,160000-170000,0
47,Oneplus,OnePlus 10R,32,200,512,24,5.0,1004.0,2800,1260,4.5,162009.75,Flagship,160000-170000,2
48,Samsung,Galaxy Note 20,32,200,512,24,5.0,1487.0,2460,1080,3.8,161997.34,Flagship,160000-170000,2
49,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,4.6,161772.63,Flagship,160000-170000,2
50,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,4.4,161761.94,Flagship,160000-170000,2
51,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,3.7,161714.7,Flagship,160000-170000,2
52,Apple,iPhone 12,16,200,1024,16,5.0,1332.0,2580,1140,4.3,161546.7,Flagship,160000-170000,2
53,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,3.9,161501.33,Flagship,160000-170000,2
54,Samsung,Galaxy S22,32,200,1024,24,5.0,1456.0,2520,1080,3.3,160755.15,Flagship,160000-170000,2
55,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,4.3,160710.74,Flagship,160000-170000,2
56,Oneplus,OnePlus 8,20,50,1024,24,4.0,1358.0,2460,1080,4.5,160645.97,Flagship,160000-170000,2
57,Oneplus,OnePlus 9 Pro,32,200,512,24,5.0,1452.0,2460,1080,4.3,160597.43,Flagship,160000-170000,2
58,Apple,iPhone 13,20,200,512,16,5.0,1245.5,2460,1080,4.3,160410.22,Flagship,160000-170000,2
59,Samsung,Galaxy Z Flip 4,32,200,1024,24,5.0,1450.0,2460,1080,3.9,160056.61,Flagship,160000-170000,2
60,Samsung,Galaxy Note 20 Ultra,32,200,1024,16,5.0,1386.5,2460,1080,4.2,159579.29,Flagship,150000-160000,2
61,Samsung,Galaxy Z Fold 4,32,200,512,12,5.0,1315.0,2520,1080,4.0,159263.19,Flagship,150000-160000,0
62,Samsung,Galaxy S22,32,200,1024,24,5.0,1456.0,2520,1080,4.2,158622.7,Flagship,150000-160000,2
63,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,4.3,158329.32,Flagship,150000-160000,2
64,Pixel,Pixel 7 Pro,32,200,1024,16,5.0,1334.0,2520,1080,4.1,158318.84,Flagship,150000-160000,2
65,Samsung,Galaxy S22,32,200,1024,16,5.0,1456.0,2520,1080,4.5,157591.89,Flagship,150000-160000,2
66,Oneplus,OnePlus 11,32,200,1024,12,5.0,1278.0,2460,1080,3.5,157553.1,Flagship,150000-160000,2
67,Apple,iPhone 14 Pro Max,32,200,512,24,5.0,1074.0,2520,1080,3.8,157203.82,Flagship,150000-160000,2
68,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,3.6,155782.1,Flagship,150000-160000,2
69,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,4.2,155674.37,Flagship,150000-160000,2
70,Oneplus,OnePlus 10R,32,200,512,24,5.0,1004.0,2800,1260,4.7,155456.69,Flagship,150000-160000,2
71,Samsung,Galaxy Z Flip 4,32,200,512,24,5.0,1450.0,2460,1080,3.6,155297.77,Flagship,150000-160000,2
72,Pixel,Pixel 3A,16,50,512,16,5.0,1563.0,2800,1260,4.1,154766.74,Flagship,150000-160000,1
73,Oneplus,OnePlus 11R,32,200,1024,16,5.0,1294.0,2460,1080,4.3,154369.53,Flagship,150000-160000,2
74,Apple,iPhone 12 Mini,32,200,512,24,5.0,1701.5,2640,1200,3.4,153972.8,Flagship,150000-160000,2
75,Samsung,Galaxy Z Flip 4,32,200,512,24,5.0,1450.0,2460,1080,4.3,153600.92,Flagship,150000-160000,2
76,Samsung,Galaxy S22 Ultra,32,200,512,12,5.0,1194.0,2460,1080,3.9,153517.04,Flagship,150000-160000,0
77,Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,3.1,153254.68,Flagship,150000-160000,2
78,Samsung,Galaxy S22 Ultra,32,200,512,16,5.0,1194.0,2460,1080,3.4,153076.09,Flagship,150000-160000,0
79,Pixel,Pixel 7 Pro,32,200,1024,24,5.0,1334.0,2520,1080,4.2,152783.49,Flagship,150000-160000,2
80,Samsung,Galaxy Z Fold 4,32,200,512,16,5.0,1315.0,2520,1080,3.3,152654.96,Flagship,150000-160000,0
81,Oppo,Oppo Find N2 Flip,32,200,1024,16,4.859365842493663,1436.0,2490,1080,4.5,152543.28,Flagship,150000-160000,2
82,Motorola,Moto G200,32,200,1024,16,4.094725218982141,1519.0,2460,1080,3.8,152509.41,Flagship,150000-160000,2
83,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,3.9,152061.97,Flagship,150000-160000,2
84,Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,3.8,151990.8,Flagship,150000-160000,2
85,Oppo,Oppo F17 Pro,32,108,1024,24,5.0,959.0,2460,1080,4.3,151701.06,Flagship,150000-160000,2
86,Oneplus,OnePlus 10 Pro,32,200,512,12,5.0,1018.5,2520,1080,4.8,150760.6,Flagship,150000-160000,0
87,Apple,iPhone 14 Pro Max,32,200,512,16,5.0,1074.0,2520,1080,4.0,150755.93,Flagship,150000-160000,0
88,Motorola,Moto Razr 40 Ultra,32,200,512,16,5.0,1182.0,2460,1080,4.1,150272.39,Flagship,150000-160000,0
89,Apple,iPhone 14 Pro Max,32,200,1024,16,5.0,1074.0,2520,1080,4.7,150148.89,Flagship,150000-160000,2
90,Samsung,Galaxy S23,32,200,512,16,5.0,1301.5,2460,1080,4.3,149526.54,Flagship,140000-150000,0
91,Motorola,Moto Edge 30 Ultra,32,200,1024,16,5.0,1384.0,2400,1080,4.0,149320.45,Flagship,140000-150000,2
92,Oneplus,OnePlus 11R,32,200,1024,16,5.0,1294.0,2460,1080,4.9,149076.47,Flagship,140000-150000,2
93,Samsung,Galaxy Z Fold 4,32,200,1024,16,5.0,1315.0,2520,1080,2.5,148977.02,Flagship,140000-150000,2
94,Motorola,Moto Razr 40 Ultra,32,200,512,24,5.0,1182.0,2460,1080,3.1,148788.64,Flagship,140000-150000,2
95,Samsung,Galaxy S22,32,200,512,16,5.0,1456.0,2520,1080,4.5,148299.81,Flagship,140000-150000,0
96,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,1.6,148269.14,Flagship,140000-150000,2
97,Samsung,Galaxy A73,32,200,1024,24,5.0,1067.5,2640,1200,4.0,148223.21,Flagship,140000-150000,2
98,Samsung,Galaxy S23,32,200,512,12,5.0,1301.5,2460,1080,3.9,147944.19,Flagship,140000-150000,0
99,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,4.4,147639.2,Flagship,140000-150000,2
100,Huawei,Huawei Nova 11,32,64,512,24,5.0,829.0,2630,1170,3.8,147414.15,Flagship,140000-150000,2
101,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,4.2,147346.59,Flagship,140000-150000,2
102,Apple,iPhone 13 Pro,20,108,1024,16,5.0,1371.0,2520,1080,4.4,146802.18,Flagship,140000-150000,2
103,Oneplus,OnePlus 10 Pro,32,200,1024,24,5.0,1018.5,2520,1080,3.7,146484.02,Flagship,140000-150000,2
104,Pixel,Pixel 6A,20,108,512,24,4.0,1395.5,2520,1080,3.6,146010.06,Flagship,140000-150000,2
105,Vivo,Vivo X80,32,200,1024,24,5.0,966.0,2460,1080,2.5,145311.78,Flagship,140000-150000,2
106,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,4.2,145248.28,Flagship,140000-150000,2
107,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,3.5,144398.51,Flagship,140000-150000,2
108,Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,4.1,144365.47,Flagship,140000-150000,0
109,Samsung,Galaxy Z Fold 4,32,200,1024,16,5.0,1315.0,2520,1080,4.5,143494.7,Flagship,140000-150000,2
110,Samsung,Galaxy Note 20,32,200,1024,16,5.0,1487.0,2460,1080,4.5,143455.53,Flagship,140000-150000,2
111,Motorola,Moto Razr 40 Ultra,32,200,1024,24,5.0,1182.0,2460,1080,4.5,143419.53,Flagship,140000-150000,2
112,Motorola,Moto Edge 40 Pro,32,200,1024,24,5.0,1430.5,2520,1080,3.7,142690.26,Flagship,140000-150000,2
113,Oppo,Oppo Find N2 Flip,32,200,1024,24,4.859365842493663,1436.0,2490,1080,3.4,141996.99,Flagship,140000-150000,2
114,Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,4.2,141940.8,Flagship,140000-150000,2
115,Motorola,Moto Edge 20,32,108,1024,24,4.173138848552816,1541.0,2460,1080,4.4,141804.18,Flagship,140000-150000,2
116,Motorola,Moto Razr 40 Ultra,32,200,512,24,5.0,1182.0,2460,1080,4.2,141779.81,Flagship,140000-150000,2
117,Oppo,Oppo Find N2,32,200,1024,16,5.0,1393.0,2490,1080,4.2,141764.33,Flagship,140000-150000,2
118,Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,4.4,141343.91,Flagship,140000-150000,0
119,Motorola,Moto Razr 40 Ultra,32,200,1024,24,5.0,1182.0,2460,1080,4.2,141283.57,Flagship,140000-150000,2
120,Samsung,Galaxy A73,32,200,1024,24,5.0,1067.5,2640,1200,4.2,140972.56,Flagship,140000-150000,2
121,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,4.3,140917.47,Flagship,140000-150000,2
122,Motorola,Moto Edge 30 Ultra,32,200,1024,24,5.0,1384.0,2400,1080,4.2,140794.13,Flagship,140000-150000,2
123,Apple,iPhone 14 Pro Max,32,200,1024,16,5.0,1074.0,2520,1080,4.0,140631.59,Flagship,140000-150000,2
124,Motorola,Moto Razr 40 Ultra,32,200,1024,24,5.0,1182.0,2460,1080,4.2,140563.48,Flagship,140000-150000,2
125,Motorola,Moto Edge 20 Pro,20,200,512,24,4.0,1055.0,2460,1080,3.5,140344.33,Flagship,140000-150000,2
126,Samsung,Galaxy Note 20,32,200,1024,24,5.0,1487.0,2460,1080,4.2,140019.58,Flagship,140000-150000,2
127,Motorola,Moto Razr 40 Ultra,32,200,1024,16,5.0,1182.0,2460,1080,4.5,140001.78,Flagship,140000-150000,2
128,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,4.7,139706.64,Flagship,130000-140000,2
129,Samsung,Galaxy S22 Ultra,32,200,1024,16,5.0,1194.0,2460,1080,3.7,139699.34,Flagship,130000-140000,2
130,Samsung,Galaxy S23,32,200,512,24,5.0,1301.5,2460,1080,4.2,119672.83,Flagship,110000-120000,2
131,Samsung,Galaxy S23 Ultra,32,200,512,24,5.0,1349.0,2460,1080,3.9,119340.19,Flagship,110000-120000,2
132,Samsung,Galaxy A53,32,108,512,24,4.686511265365595,976.5,2460,1080,3.4,119305.21,Flagship,110000-120000,2
133,Samsung,Galaxy Z Flip 4,32,200,1024,24,5.0,1450.0,2460,1080,4.1,139236.17,Flagship,130000-140000,2
134,Vivo,Vivo X90 Pro,32,200,1024,16,4.0,1413.0,2400,1080,3.7,139043.64,Flagship,130000-140000,2
135,Oppo,Oppo Find N2 Flip,32,200,512,24,4.859365842493663,1436.0,2490,1080,4.3,118920.51,Flagship,110000-120000,2
136,Samsung,Galaxy S22 Ultra,32,200,1024,24,5.0,1194.0,2460,1080,4.4,138879.5,Flagship,130000-140000,2
137,Samsung,Galaxy S22,32,200,1024,24,5.0,1456.0,2520,1080,3.7,138752.37,Flagship,130000-140000,2
138,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,4.1,138643.54,Flagship,130000-140000,2
139,Apple,iPhone 12 Mini,32,200,1024,24,5.0,1701.5,2640,1200,4.1,138572.78,Flagship,130000-140000,2
140,Samsung,Galaxy S22 Ultra,32,200,512,24,5.0,1194.0,2460,1080,3.5,118510.6,Flagship,110000-120000,2
141,Motorola,Moto Razr 40,32,200,1024,16,5.0,1330.0,2460,1080,3.8,138484.42,Flagship,130000-140000,2
142,Samsung,Galaxy Z Flip 4,32,200,1024,16,5.0,1450.0,2460,1080,4.1,138044.59,Flagship,130000-140000,2
143,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,3.4,137959.48,Flagship,130000-140000,2
144,Motorola,Moto Razr 40,32,200,512,24,5.0,1330.0,2460,1080,4.0,117835.69,Flagship,110000-120000,2
145,Vivo,Vivo X90 Pro,32,200,512,24,4.0,1413.0,2400,1080,4.6,117461.25,Flagship,110000-120000,2
146,Apple,iPhone 14 Pro,32,200,1024,24,5.0,1086.0,2460,1080,4.9,137425.19,Flagship,130000-140000,2
147,Samsung,Galaxy Note 20 Ultra,32,200,512,24,5.0,1386.5,2460,1080,4.5,117333.05,Flagship,110000-120000,2
148,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,3.6,137198.56,Flagship,130000-140000,2
149,Samsung,Galaxy Z Fold 4,32,200,512,16,5.0,1315.0,2520,1080,2.4,116798.85,Flagship,110000-120000,0
150,Samsung,Galaxy A73,32,200,512,16,5.0,1067.5,2640,1200,3.77,116665.29,Flagship,110000-120000,0
151,Apple,iPhone 14 Pro Max,32,200,1024,16,5.0,1074.0,2520,1080,4.7,136588.42,Flagship,130000-140000,2
152,Oneplus,OnePlus 8 Pro,32,200,1024,24,5.0,1382.5,2800,1260,4.2,136485.07,Flagship,130000-140000,2
153,Huawei,Huawei Mate X3,20,200,512,24,4.030842942667021,1187.0,2630,1170,3.8,116340.62,Flagship,110000-120000,2
154,Vivo,Vivo V25,32,200,1024,16,5.0,1709.0,2800,1260,3.1,135730.69,Flagship,130000-140000,2
155,Vivo,Vivo X90 Pro+,32,200,1024,16,5.0,1109.0,2460,1080,3.8,134897.97,Flagship,130000-140000,2
156,Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,3.1,134793.99,Flagship,130000-140000,2
157,Samsung,Galaxy Z Fold 4,32,200,1024,16,5.0,1315.0,2520,1080,3.2,134628.61,Flagship,130000-140000,2
158,Samsung,Galaxy S23 Ultra,32,200,512,12,5.0,1349.0,2460,1080,4.1,134370.91,Flagship,130000-140000,0
159,Samsung,Galaxy S23 Ultra,32,200,512,24,5.0,1349.0,2460,1080,4.6,114265.2,Flagship,110000-120000,2
160,Apple,iPhone 12 Mini,32,200,512,16,5.0,1701.5,2640,1200,4.6,114027.54,Flagship,110000-120000,0
161,Oneplus,OnePlus 11,32,200,1024,12,5.0,1278.0,2460,1080,4.4,133927.48,Flagship,130000-140000,2
162,Apple,iPhone 14 Pro Max,32,200,1024,12,5.0,1074.0,2520,1080,4.7,133742.69,Flagship,130000-140000,2
163,Vivo,Vivo X90,32,200,512,24,5.0,1531.5,2460,1080,3.5,113370.74,Flagship,110000-120000,2
164,Motorola,Moto Razr 40 Ultra,32,200,1024,16,5.0,1182.0,2460,1080,4.1,133283.52,Flagship,130000-140000,2
165,Oppo,Oppo Find N2 Flip,32,200,1024,16,4.859365842493663,1436.0,2490,1080,3.8,133054.34,Flagship,130000-140000,2
166,Samsung,Galaxy Note 20 Ultra,32,200,512,12,5.0,1386.5,2460,1080,3.8,133012.39,Flagship,130000-140000,0
167,Samsung,Galaxy Z Fold 4,32,200,512,16,5.0,1315.0,2520,1080,3.0,112955.55,Flagship,110000-120000,0
168,Motorola,Moto Edge 40 Pro,32,200,1024,24,5.0,1430.5,2520,1080,3.7,132452.83,Flagship,130000-140000,2
169,Oppo,Oppo Reno 8 Pro,32,200,1024,24,5.0,1219.0,2640,1200,3.5,131941.53,Flagship,130000-140000,2
170,Samsung,Galaxy S22,32,200,512,16,5.0,1456.0,2520,1080,4.3,111870.41,Flagship,110000-120000,0
171,Apple,iPhone 12,16,200,512,16,5.0,1332.0,2580,1140,4.9,111813.7,Flagship,110000-120000,2
172,Samsung,Galaxy Z Fold 4,32,200,512,24,5.0,1315.0,2520,1080,3.8,111563.91,Flagship,110000-120000,2
173,Samsung,Galaxy Z Flip 4,32,200,1024,16,5.0,1450.0,2460,1080,3.2,131511.95,Flagship,130000-140000,2
174,Pixel,Pixel 7,20,200,1024,16,5.0,1476.0,2520,1080,4.1,131490.01,Flagship,130000-140000,2
175,Oneplus,OnePlus 11R,32,200,1024,16,5.0,1294.0,2460,1080,4.1,131351.03,Flagship,130000-140000,2
176,Motorola,Moto G200,32,200,1024,24,4.094725218982141,1519.0,2460,1080,4.4,131213.87,Flagship,130000-140000,2
177,Oppo,Oppo Reno 7,16,200,1024,24,4.0,1216.0,2460,1080,3.1,131000.88,Flagship,130000-140000,2
178,Vivo,Vivo X90 Pro,32,200,512,16,4.0,1413.0,2400,1080,4.1,110882.54,Flagship,110000-120000,0
179,Oneplus,OnePlus 11,32,200,1024,16,5.0,1278.0,2460,1080,4.9,130864.88,Flagship,130000-140000,2
180,Motorola,Moto Razr 40,32,200,512,24,5.0,1330.0,2460,1080,4.3,110373.56,Flagship,110000-120000,2
181,Oneplus,OnePlus 10R,32,200,512,16,5.0,1004.0,2800,1260,4.8,110121.44,Flagship,110000-120000,0
182,Oneplus,OnePlus 8T,32,200,512,24,5.0,1193.0,2520,1080,4.5,129832.03,Flagship,120000-130000,2
183,Samsung,Galaxy Note 20 Ultra,32,200,512,16,5.0,1386.5,2460,1080,3.6,129814.6,Flagship,120000-130000,0
184,Oppo,Oppo Find N2 Flip,32,200,512,24,4.859365842493663,1436.0,2490,1080,3.7,129782.8,Flagship,120000-130000,2
185,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,3.9,129689.66,Flagship,120000-130000,2
186,Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,3.9,129596.07,Flagship,120000-130000,2
187,Oneplus,OnePlus 11,32,200,1024,24,5.0,1278.0,2460,1080,4.1,129554.52,Flagship,120000-130000,2
188,Samsung,Galaxy S23 Ultra,32,200,1024,16,5.0,1349.0,2460,1080,4.0,129221.25,Flagship,120000-130000,2
189,Motorola,Moto Edge 40 Pro,32,200,1024,16,5.0,1430.5,2520,1080,3.5,128884.84,Flagship,120000-130000,2
190,Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,3.7,128060.49,Flagship,120000-130000,0
191,Oneplus,OnePlus 10R,32,200,1024,24,5.0,1004.0,2800,1260,4.1,127659.35,Flagship,120000-130000,2
192,Samsung,Galaxy S22,32,200,512,24,5.0,1456.0,2520,1080,4.2,127544.72,Flagship,120000-130000,2
193,Oneplus,OnePlus 8 Pro,32,200,1024,24,5.0,1382.5,2800,1260,4.4,127383.61,Flagship,120000-130000,2
194,Oneplus,OnePlus 10 Pro,32,200,1024,24,5.0,1018.5,2520,1080,4.7,126993.53,Flagship,120000-130000,2
195,Oneplus,OnePlus 11,32,200,1024,16,5.0,1278.0,2460,1080,4.2,126906.87,Flagship,120000-130000,2
196,Pixel,Pixel 7 Pro,32,200,1024,16,5.0,1334.0,2520,1080,4.4,126727.34,Flagship,120000-130000,2
197,Apple,iPhone 13 Pro,20,108,1024,24,5.0,1371.0,2520,1080,4.5,126069.84,Flagship,120000-130000,2
198,Oppo,Oppo F21 Pro,32,200,1024,24,4.0,1397.0,2460,1080,4.1,125991.45,Flagship,120000-130000,2
199,Vivo,Vivo V27,20,108,1024,12,5.0,1601.5,2790,1260,4.3,125987.93,Flagship,120000-130000,2
200,Oppo,Oppo Find N2,32,200,1024,12,5.0,1393.0,2490,1080,4.3,125936.27,Flagship,120000-130000,2
201,Huawei,Huawei P60 Pro,20,108,1024,24,5.0,1230.0,2400,1080,3.2,125895.01,Flagship,120000-130000,2
202,Samsung,Galaxy Z Flip 4,32,200,1024,12,5.0,1450.0,2460,1080,4.0,125794.21,Flagship,120000-130000,2
203,Samsung,Galaxy S23 Ultra,32,200,1024,12,5.0,1349.0,2460,1080,4.5,125753.23,Flagship,120000-130000,2
204,Pixel,Pixel 7 Pro,32,200,512,16,5.0,1334.0,2520,1080,4.0,125752.09,Flagship,120000-130000,0
205,Vivo,Vivo X90 Pro+,32,200,1024,24,5.0,1109.0,2460,1080,4.1,125183.42,Flagship,120000-130000,2
206,Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,3.5,125031.03,Flagship,120000-130000,0
207,Huawei,Huawei P60 Pro,20,108,1024,24,5.0,1230.0,2400,1080,3.9,124776.7,Flagship,120000-130000,2
208,Samsung,Galaxy Z Fold 4,32,200,1024,16,5.0,1315.0,2520,1080,3.6,124245.03,Flagship,120000-130000,2
209,Vivo,Vivo X90,32,200,512,24,5.0,1531.5,2460,1080,4.2,123831.64,Flagship,120000-130000,2
210,Oneplus,OnePlus 9,32,108,512,16,5.0,1106.5,2860,1260,4.8,123739.38,Flagship,120000-130000,0
211,Samsung,Galaxy A73,32,200,512,12,5.0,1067.5,2640,1200,3.7,123479.52,Flagship,120000-130000,0
212,Samsung,Galaxy Note 20,32,200,512,16,5.0,1487.0,2460,1080,4.0,123379.86,Flagship,120000-130000,0
213,Samsung,Galaxy Z Fold 4,32,200,512,16,5.0,1315.0,2520,1080,4.4,122364.6,Flagship,120000-130000,0
214,Oneplus,OnePlus 8 Pro,32,200,1024,16,5.0,1382.5,2800,1260,4.0,122266.06,Flagship,120000-130000,2
215,Samsung,Galaxy A73,32,200,1024,16,5.0,1067.5,2640,1200,4.9,122211.41,Flagship,120000-130000,2
