3G,4G,WiFi,Bluetooth,Dual SIM,Touch Screen,Front Camera (in MP),Primary Camera (in MP),Memory (in GB),RAM(in MB),Processor Performance,Battery Power(in mAh),Talk Time (in hrs),Mobile Weight (in g),Screen Height,Screen Width,Price Range
1,1,1,0,1,0,2,19,37,2458,7.6,1578,3,138,19,16,2
0,0,1,0,0,1,17,18,24,2766,5.4,1689,7,127,7,2,3
0,0,0,0,0,0,1,6,39,3054,2.5,1488,19,112,14,10,3
0,0,1,1,1,1,4,6,9,3791,1.8,1313,6,105,11,10,3
1,1,0,0,1,0,4,17,31,625,8.0,1715,13,83,17,6,0
1,0,0,0,1,1,0,19,27,2227,3.0,1442,20,192,6,5,1
1,1,0,0,0,1,12,15,6,3256,3.4,528,6,142,9,8,2
1,1,0,1,0,1,6,8,11,707,1.8,1523,19,129,19,8,0
1,0,1,0,0,0,3,12,42,1457,7.0,1133,20,199,18,12,1
1,1,1,1,1,1,14,16,6,3755,12.5,1718,8,183,7,1,3
1,0,1,0,0,0,0,1,38,1733,3.5,1330,11,183,9,0,1
1,0,1,1,0,1,0,2,49,720,2.0,1799,11,107,12,2,0
1,1,1,1,0,1,0,1,49,3560,17.6,633,16,139,11,1,2
1,0,0,0,1,0,0,0,44,2311,18.900000000000002,724,7,187,7,6,2
1,1,0,1,0,0,0,20,51,3846,3.0,822,3,157,10,1,3
1,0,1,0,0,1,2,10,10,1717,9.5,1918,16,110,7,1,2
1,1,0,0,0,0,7,14,37,3704,19.599999999999998,1891,11,129,8,6,3
1,0,0,1,1,0,2,12,50,3800,7.0,1373,14,127,8,3,3
0,0,1,1,1,0,3,15,23,278,1.6,862,11,165,16,3,0
1,1,0,0,0,1,3,15,48,1767,4.0,1273,11,99,18,15,1
1,0,1,1,0,0,4,10,7,1846,12.5,957,7,107,12,5,1
1,1,0,1,1,0,3,4,30,829,2.6,1617,10,105,9,0,0
0,0,1,0,1,1,0,1,55,2986,5.0,893,6,183,7,1,2
0,0,0,0,0,0,0,0,63,2394,2.5,1210,7,93,17,9,2
1,1,1,1,1,1,0,7,63,2169,21.6,708,7,195,6,5,1
1,0,1,0,1,1,2,7,7,1181,4.4,835,15,101,13,5,0
0,0,0,1,1,0,9,17,19,575,2.7,1450,12,131,15,9,0
1,1,0,1,0,0,5,16,57,2977,10.5,973,2,190,6,4,2
1,1,1,1,0,1,4,13,4,532,5.6,601,10,154,12,8,0
1,0,1,1,1,1,1,11,32,1702,3.5,507,5,141,17,0,1
1,1,0,0,1,1,0,1,51,1074,5.4,564,15,168,14,8,0
1,1,1,1,1,1,6,17,6,3352,9.600000000000001,1559,3,162,9,1,3
1,1,0,0,1,0,7,10,59,1027,3.5,754,5,178,6,3,1
1,0,1,0,1,1,0,1,25,2039,10.8,728,12,88,5,1,1
1,1,0,1,0,0,0,1,56,461,0.5,1431,8,191,7,3,0
0,0,0,0,0,1,4,10,28,527,6.0,767,15,175,10,0,0
1,0,1,0,0,0,8,16,18,3271,5.2,1722,15,177,14,0,3
1,1,1,1,0,1,5,15,57,606,3.2,1992,4,100,9,3,1
1,1,0,0,0,1,10,14,40,2513,3.0,1876,16,86,10,8,3
1,1,1,0,1,1,10,12,38,1675,6.6000000000000005,1054,14,136,18,4,1
1,0,0,1,1,1,4,5,47,2698,8.0,1283,17,93,9,6,2
0,0,0,1,1,1,0,6,28,1129,2.3,1281,6,148,12,1,1
1,1,0,0,0,1,2,18,7,468,4.2,1066,6,114,19,13,0
1,1,1,0,1,1,0,2,4,1210,16.8,730,4,89,19,15,0
1,1,1,1,1,1,7,12,45,3086,0.8,1053,5,103,17,6,3
1,0,1,1,1,0,11,14,3,1595,1.5,1611,9,98,8,4,1
1,1,1,0,1,1,5,15,30,2332,2.0,793,14,133,17,13,2
1,0,1,0,0,1,3,8,62,2589,11.6,1220,15,125,19,11,2
1,1,1,0,0,1,0,13,61,3760,2.0,1662,13,126,9,5,3
1,1,0,1,1,1,3,19,8,1851,11.2,1281,9,144,8,2,1
1,1,1,0,0,0,12,13,2,417,5.6000000000000005,538,9,177,8,4,0
0,0,1,1,0,0,0,4,39,294,4.0,823,11,187,13,9,0
1,1,0,1,0,0,3,20,36,3576,16.799999999999997,1733,9,119,17,16,3
1,1,1,0,1,0,0,14,40,3945,4.5,1429,18,100,11,7,3
1,1,1,1,0,0,9,11,54,927,8.4,1839,18,200,19,10,1
1,1,1,0,0,0,6,7,6,2044,8.100000000000001,659,2,110,15,5,1
1,0,0,1,1,0,7,9,56,2334,16.8,1953,4,158,11,5,2
1,1,0,0,0,0,0,3,27,1477,1.9,1172,6,164,12,0,1
0,0,0,1,1,0,6,7,16,3161,13.299999999999999,612,3,102,8,4,3
1,1,0,0,0,1,0,0,24,3660,19.2,1563,5,170,7,5,3
1,1,1,0,1,0,16,20,26,1604,1.3,1191,9,84,14,3,1
0,0,1,1,1,0,0,4,42,2211,3.0,615,18,163,7,4,1
0,0,1,1,1,1,8,11,63,3822,4.2,1893,18,134,14,3,3
0,0,1,0,1,0,10,13,16,3922,11.9,1563,8,151,11,1,3
1,0,1,1,0,1,6,18,9,1203,11.399999999999999,1995,18,139,14,12,2
1,1,1,0,0,1,6,14,48,2822,2.5,1517,11,143,15,5,3
1,1,0,0,1,1,1,5,34,447,8.0,832,12,108,15,13,0
1,1,0,0,0,0,0,1,56,1652,14.0,1162,20,114,5,0,1
0,0,0,1,0,1,7,19,12,3608,20.8,1595,16,121,15,1,3
1,0,1,1,0,0,1,2,52,1228,6.0,1329,6,181,8,6,1
0,0,0,1,1,1,11,13,56,666,4.0,928,5,80,19,10,0
1,1,1,1,1,0,8,17,38,1499,3.5,1656,19,105,12,8,1
1,0,0,1,0,1,17,19,58,3321,1.7,1937,14,189,5,4,3
0,0,1,1,1,1,2,7,57,1206,6.6000000000000005,977,8,181,7,1,0
1,1,1,1,0,0,16,20,56,952,0.9,768,16,113,19,3,0
0,0,1,1,1,1,11,14,12,3927,1.0,1464,15,117,5,3,3
1,1,0,0,0,0,1,8,29,311,1.8,1177,19,191,18,5,0
1,0,1,0,0,1,18,20,52,955,6.0,1348,7,98,18,11,1
1,1,0,0,0,1,0,2,37,1109,6.6000000000000005,1956,19,87,13,1,1
0,0,1,0,1,0,6,20,8,2969,3.0,1751,17,178,8,6,2
0,0,1,0,0,0,11,13,42,725,12.0,1530,19,177,11,10,0
1,0,0,1,1,0,1,8,40,1655,7.2,1997,15,185,7,6,2
0,0,0,1,1,1,5,6,44,3490,3.0,1414,13,180,16,12,3
0,0,0,0,0,0,0,2,41,1774,9.799999999999999,1707,10,80,12,0,2
1,1,1,0,1,0,1,14,50,3615,1.5,894,6,199,13,0,3
1,1,0,0,0,1,6,17,41,714,9.6,645,13,184,18,2,0
0,0,1,0,1,0,0,0,49,2768,5.6,1163,12,155,19,2,2
1,0,0,0,0,0,3,17,49,3739,5.6,1126,13,165,14,1,3
1,1,0,0,0,1,6,9,64,610,2.8,1648,6,170,8,1,1
1,1,1,1,0,0,6,13,14,715,1.8,1170,20,199,18,5,0
1,1,0,0,0,0,7,8,42,663,0.8,508,7,94,13,12,0
1,0,1,0,1,0,6,8,64,1725,6.300000000000001,1097,9,161,14,5,1
1,1,0,0,1,1,0,20,5,834,3.4,728,5,101,16,0,0
1,1,0,0,1,0,2,13,29,3865,0.5,1980,18,177,12,10,3
0,0,0,0,1,1,1,2,64,3059,2.3,1504,10,182,6,5,3
1,1,0,1,1,1,14,17,63,651,2.1,1379,7,83,9,6,0
1,1,1,0,0,0,5,20,18,796,12.600000000000001,1698,14,160,13,3,0
0,0,1,0,1,1,5,14,25,785,14.700000000000001,920,5,115,10,7,0
0,0,0,1,1,0,0,11,21,3252,1.5,1144,8,189,16,0,2
0,0,1,1,0,1,6,15,26,1322,0.5,1995,7,129,15,11,1
0,0,1,0,1,1,1,16,27,2832,0.5,1430,15,183,7,1,2
0,0,0,1,1,1,5,8,13,1615,2.5,972,13,193,11,6,1
0,0,1,0,0,1,5,10,20,2125,0.5,662,15,138,17,15,1
1,1,1,0,0,0,0,3,9,990,13.799999999999999,1867,2,191,6,1,1
1,1,0,0,1,1,0,10,20,1595,8.0,1730,12,143,14,0,1
1,1,1,1,0,1,1,17,7,1213,3.0,1723,16,126,5,0,1
0,0,1,1,1,0,8,13,47,2500,2.6,1882,11,140,17,1,2
0,0,0,0,1,1,0,1,18,2801,3.2,803,12,106,18,15,2
1,0,0,1,1,1,0,1,47,3451,3.5999999999999996,580,11,91,15,1,3
1,1,0,0,0,1,2,19,48,1201,2.3,668,4,114,14,12,0
1,1,0,0,0,1,2,6,36,3139,1.4,1391,14,182,14,7,2
1,1,1,0,0,1,0,1,22,1938,16.099999999999998,1560,16,169,15,11,2
1,0,0,0,1,0,5,9,54,3185,5.4,821,15,109,8,4,2
1,1,1,1,1,0,5,13,2,2111,14.399999999999999,811,2,106,18,7,1
1,0,0,1,1,1,8,15,17,2369,23.2,1989,18,193,7,0,2
0,0,1,1,1,1,6,20,37,3625,18.900000000000002,1034,12,120,17,1,3
0,0,1,0,0,0,2,4,6,1051,2.1,618,15,86,13,10,0
1,1,0,1,0,0,0,4,52,1036,5.2,654,13,196,17,4,1
1,1,1,1,0,1,2,7,10,2938,14.0,576,5,184,6,0,2
1,1,1,1,0,0,6,13,3,2855,3.5999999999999996,667,19,185,5,0,2
1,1,0,1,0,0,7,15,57,2727,1.0,869,8,118,13,3,2
0,0,1,1,1,0,2,4,42,2973,1.5,635,18,149,12,5,2
1,1,1,1,0,0,15,16,44,2581,3.0,609,15,117,15,11,1
0,0,1,0,1,0,16,20,2,2690,14.0,1557,9,123,18,16,3
0,0,1,1,0,1,2,5,33,916,13.6,1604,12,191,13,10,0
1,1,0,0,0,0,7,16,8,2563,4.0,1182,19,138,19,17,2
1,1,0,1,1,0,10,18,19,3359,14.700000000000001,848,14,148,10,0,2
1,1,0,1,0,1,7,12,64,941,11.6,1610,9,181,8,4,1
0,0,0,1,1,0,0,1,17,2280,2.1,1828,4,199,17,14,2
1,1,1,0,1,0,1,3,50,827,14.0,880,6,194,15,9,0
1,1,0,1,1,1,10,13,62,473,4.5,1394,20,175,11,1,0
1,1,0,1,1,0,1,3,61,3865,16.099999999999998,1960,11,86,10,7,3
